item_code,item_name,unit,stats_data_id,field,kind,role,tier,group,col_name,notes,in_latest
C220831,C220831_従業者数（民営）（農林漁業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220831,業種・規模の探索用（自動追加）,yes
C220832,C220832_従業者数（民営）（農業、林業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220832,業種・規模の探索用（自動追加）,yes
C220833,C220833_従業者数（民営）（漁業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220833,業種・規模の探索用（自動追加）,yes
C220834,C220834_従業者数（民営）（非農林漁業（公務を除く））,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220834,業種・規模の探索用（自動追加）,yes
C220835,C220835_従業者数（民営）（鉱業、採石業、砂利採取業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220835,業種・規模の探索用（自動追加）,yes
C220836,C220836_従業者数（民営）（建設業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220836,業種・規模の探索用（自動追加）,yes
C220837,C220837_従業者数（民営）（製造業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220837,業種・規模の探索用（自動追加）,yes
C220838,C220838_従業者数（民営）（電気・ガス・熱供給・水道業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220838,業種・規模の探索用（自動追加）,yes
C220839,C220839_従業者数（民営）（情報通信業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220839,業種・規模の探索用（自動追加）,yes
C220840,C220840_従業者数（民営）（運輸業、郵便業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220840,業種・規模の探索用（自動追加）,yes
C220841,C220841_従業者数（民営）（卸売業、小売業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220841,業種・規模の探索用（自動追加）,yes
C220842,C220842_従業者数（民営）（卸売業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220842,業種・規模の探索用（自動追加）,yes
C220843,C220843_従業者数（民営）（小売業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220843,業種・規模の探索用（自動追加）,yes
C220844,C220844_従業者数（民営）（金融業、保険業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220844,業種・規模の探索用（自動追加）,yes
C220845,C220845_従業者数（民営）（不動産業、物品賃貸業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220845,業種・規模の探索用（自動追加）,yes
C220846,C220846_従業者数（民営）（学術研究、専門・技術サービス業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220846,業種・規模の探索用（自動追加）,yes
C220847,C220847_従業者数（民営）（宿泊業、飲食サービス業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220847,業種・規模の探索用（自動追加）,yes
C220848,C220848_従業者数（民営）（生活関連サービス業、娯楽業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220848,業種・規模の探索用（自動追加）,yes
C220849,C220849_従業者数（民営）（教育、学習支援業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220849,業種・規模の探索用（自動追加）,yes
C220850,C220850_従業者数（民営）（医療、福祉）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220850,業種・規模の探索用（自動追加）,yes
C220851,C220851_従業者数（民営）（複合サービス事業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220851,業種・規模の探索用（自動追加）,yes
C220852,C220852_従業者数（民営）（サービス業（他に分類されないもの））,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220852,業種・規模の探索用（自動追加）,yes
C2210,C2210_第1次産業従業者数（経済センサス‐基礎調査結果）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C2210,業種・規模の探索用（自動追加）,yes
C2211,C2211_第2次産業従業者数（経済センサス‐基礎調査結果）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C2211,業種・規模の探索用（自動追加）,yes
C2212,C2212_第3次産業従業者数（経済センサス‐基礎調査結果）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C2212,業種・規模の探索用（自動追加）,yes
C210716,C210716_事業所数（金融業、保険業）,所,0000020203,C,basic,x,B,finance,estab_finance,金融・保険,yes
#H06107,#H06107_飲食店数（事業所・企業統計調査結果）（人口千人当たり）,店,0000020308,H,indicator,x,B,food,shops_restaurant_legacy_per_1000,飲食／千人（旧）,yes
H6102,H6102_飲食店数（事業所・企業統計調査結果）,事業所,0000020208,H,basic,x,B,food,shops_restaurant_legacy,飲食（旧調査）,yes
C210711,C210711_事業所数（情報通信業）,所,0000020203,C,basic,x,B,ict,estab_ict,情報通信,yes
C5403,C5403_標準価格（平均価格）（商業地）,円／ｍ2,0000020203,C,basic,x,B,land_price,price_commercial,商業地標準価格,yes
C5405,C5405_標準価格（平均価格）（工業地）,円／ｍ2,0000020203,C,basic,x,B,land_price,price_industrial,工業地標準価格,yes
C3401,C3401_製造品出荷額等,百万円,0000020203,C,basic,x,B,manufacturing,mfg_shipment,製造品出荷額,yes
C3403,C3403_製造業事業所数,事業所,0000020203,C,basic,x,B,manufacturing,mfg_establishments,製造業事業所数（工業統計系）,yes
C3404,C3404_製造業従業者数,人,0000020203,C,basic,x,B,manufacturing,mfg_employees,製造業従業者,yes
C210707,C210707_事業所数（鉱業、採石業、砂利採取業）,所,0000020203,C,basic,x,B,mining,estab_mining,鉱業,yes
C210718,C210718_事業所数（学術研究、専門・技術サービス業）,所,0000020203,C,basic,x,B,professional,estab_professional,学術・専門・技術,yes
C210717,C210717_事業所数（不動産業、物品賃貸業）,所,0000020203,C,basic,x,B,real_estate,estab_real_estate,不動産・物品賃貸,yes
#H06101,#H06101_小売店数（事業所・企業統計調査結果）（人口千人当たり）,店,0000020308,H,indicator,x,B,retail,shops_retail_legacy_per_1000,小売／千人（旧）,yes
H6101,H6101_小売店数（事業所・企業統計調査結果）,事業所,0000020208,H,basic,x,B,retail,shops_retail_legacy,小売（旧調査）,yes
H613001,H613001_各種商品小売店数,事業所,0000020208,H,basic,x,B,retail_detail,shops_general_merchandise,各種商品小売,yes
